timestamp,pressure_hPa,relative_altitude_m
2025-09-10T08:34:12Z,1009.9,2.201
2025-09-10T08:34:13Z,1009.9,2.198
2025-09-10T08:34:14Z,1009.9,2.193
2025-09-10T08:34:15Z,1009.9,2.175
2025-09-10T08:34:16Z,1009.9,2.161
2025-09-10T08:34:17Z,1009.9,2.161
2025-09-10T08:34:18Z,1009.9,2.138
2025-09-10T08:34:19Z,1009.9,2.077
2025-09-10T08:34:20Z,1009.9,2.043
2025-09-10T08:34:22Z,1009.9,2.006
2025-09-10T08:34:23Z,1009.9,1.982
2025-09-10T08:34:24Z,1009.9,1.982
2025-09-10T08:34:25Z,1009.9,2.021
2025-09-10T08:34:26Z,1009.9,2.066
2025-09-10T08:34:27Z,1009.9,2.098
2025-09-10T08:34:28Z,1009.9,2.124
2025-09-10T08:34:29Z,1009.9,2.124
2025-09-10T08:34:30Z,1009.9,2.124
2025-09-10T08:34:31Z,1009.9,2.127
2025-09-10T08:34:32Z,1009.9,2.132
2025-09-10T08:34:33Z,1009.9,2.151
2025-09-10T08:34:34Z,1009.9,2.172
2025-09-10T08:34:36Z,1009.9,2.183
2025-09-10T08:34:37Z,1009.9,2.196
2025-09-10T08:34:38Z,1009.9,2.217
2025-09-10T08:34:39Z,1009.9,2.217
2025-09-10T08:34:40Z,1009.9,2.214
2025-09-10T08:34:41Z,1009.9,2.214
2025-09-10T08:34:42Z,1009.9,2.222
2025-09-10T08:34:43Z,1009.9,2.222
2025-09-10T08:34:44Z,1009.9,2.220
2025-09-10T08:34:45Z,1009.9,2.209
2025-09-10T08:34:46Z,1009.9,2.190
2025-09-10T08:34:47Z,1009.9,2.161
2025-09-10T08:34:48Z,1009.9,2.116
2025-09-10T08:34:50Z,1009.9,2.080
2025-09-10T08:34:51Z,1009.9,2.056
2025-09-10T08:34:52Z,1009.9,2.029
2025-09-10T08:34:53Z,1009.9,2.029
2025-09-10T08:34:54Z,1009.9,2.037
